srtn_cd,alias,bas_dt,rank,name,asset_type,weight_pct,source_doc,fetched_at
K55301D51271,TDF2050_Ce,2025-07-19,1,trustFtnNetAssTotAmt,trustFtnNetAssTotAmt,106.169,dis_proframe:DISFundSetRptBSSO:top10_proxy,2026-05-29T03:58:00.435842+00:00
K55301D51271,TDF2050_Ce,2025-07-19,10,standardCot,standardCot,0.0006,dis_proframe:DISFundSetRptBSSO:top10_proxy,2026-05-29T03:58:00.435842+00:00
K55301D51271,TDF2050_Ce,2025-07-19,2,blNetAssTotAmt,blNetAssTotAmt,99.7544,dis_proframe:DISFundSetRptBSSO:top10_proxy,2026-05-29T03:58:00.435842+00:00
K55301D51271,TDF2050_Ce,2025-07-19,3,수익증권,profitBnd,98.9583,dis_proframe:DISFundSetRptBSSO:top10_proxy,2026-05-29T03:58:00.435842+00:00
K55301D51271,TDF2050_Ce,2025-07-19,4,originalAmt,originalAmt,74.6241,dis_proframe:DISFundSetRptBSSO:top10_proxy,2026-05-29T03:58:00.435842+00:00
K55301D51271,TDF2050_Ce,2025-07-19,5,issueCnt,issueCnt,74.6241,dis_proframe:DISFundSetRptBSSO:top10_proxy,2026-05-29T03:58:00.435842+00:00
K55301D51271,TDF2050_Ce,2025-07-19,6,bringPrfSplAmt,bringPrfSplAmt,31.5449,dis_proframe:DISFundSetRptBSSO:top10_proxy,2026-05-29T03:58:00.435842+00:00
K55301D51271,TDF2050_Ce,2025-07-19,7,securitiesEstPrf,securitiesEstPrf,6.4146,dis_proframe:DISFundSetRptBSSO:top10_proxy,2026-05-29T03:58:00.435842+00:00
K55301D51271,TDF2050_Ce,2025-07-19,8,미수배당,notIcmDivAmt,1.0417,dis_proframe:DISFundSetRptBSSO:top10_proxy,2026-05-29T03:58:00.435842+00:00
K55301D51271,TDF2050_Ce,2025-07-19,9,notPayRew,notPayRew,0.2456,dis_proframe:DISFundSetRptBSSO:top10_proxy,2026-05-29T03:58:00.435842+00:00
